data,canal,campanha,etapa_funil,investimento,impressoes,alcance,cliques,interacoes,leads,conversoes,receita
2026-08-03,Google Ads,Pesquisa Marca,Fundo de funil,1200,52000,41000,2600,310,150,58,8700
2026-08-03,Meta Ads,Conversao Social,Meio de funil,1000,78000,59000,2340,410,118,42,5200
2026-08-03,Instagram,Conteudo Impulsionado,Topo de funil,650,92000,68000,1840,520,72,18,1800
2026-08-03,LinkedIn Ads,Leads B2B,Meio de funil,900,31000,24500,930,145,64,16,4800
2026-08-10,Google Ads,Pesquisa Marca,Fundo de funil,1250,54000,42500,2862,335,162,63,9450
2026-08-10,Meta Ads,Conversao Social,Meio de funil,1050,81000,61200,2511,438,126,46,5750
2026-08-10,Instagram ,Conteudo Impulsionado,Topo de funil,700,96000,70400,2016,548,78,20,2000
2026-08-10,LinkedIn Ads,Leads B2B,Meio de funil,950,32500,25200,975,151,68,17,5100
2026-08-17,Google Ads,Pesquisa Marca,Fundo de funil,1300,56000,43800,3024,352,171,67,10050
2026-08-17,Meta Ads,Conversao Social,Meio de funil,1100,84000,63000,2604,455,132,49,6125
2026-08-17,Instagram,Conteudo Impulsionado,Topo de funil,760,101000,73500,2020,575,82,21,2100
2026-08-17,LinkedIn Ads,Leads B2B,Meio de funil,1000,34000,26600,1020,160,72,18,5400
2026-08-24,Google Ads,Pesquisa Marca,Fundo de funil,1400,59000,46000,3304,380,184,72,10800
2026-08-24,Meta Ads,Conversao Social,Meio de funil,1200,88000,66000,2640,472,138,51,6375
2026-08-24,Instagram,Conteudo Impulsionado,Topo de funil,820,105000,76000,2100,602,,22,2200
2026-08-24,LinkedIn Ads,Leads B2B,Meio de funil,1100,36000,28000,1044,168,76,19,5700
2026-08-31,Google Ads,Pesquisa Marca,Fundo de funil,1500,62000,48000,3472,401,195,76,11400
2026-08-31,Meta Ads,Conversao Social,Meio de funil,1300,92000,69000,2668,490,145,53,6625
2026-08-31,Instagram,Conteudo Impulsionado,Topo de funil,900,110000,79000,2090,630,86,23,2300
2026-08-31,LinkedIn Ads,Leads B2B,Meio de funil,1200,38000,29500,1064,176,80,20,6000
2026-09-07,Google Ads,Pesquisa Marca,Fundo de funil,1600,65000,50000,3640,420,205,80,12000
2026-09-07,Meta Ads,Conversao Social,Meio de funil,1450,96000,72000,2688,510,151,55,6875
2026-09-07,Instagram,Conteudo Impulsionado,Topo de funil,1000,116000,83000,2088,660,90,24,2400
2026-09-07,LinkedIn Ads,Leads B2B,Meio de funil,1350,40000,31000,1080,184,84,21,6300
